IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,49659,192.178.202.97,443,UDP,37,24139,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.130,443,192.168.20.101,48436,UDP,94,56712,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.130,443,192.168.20.101,40654,TCP,36,12695,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,41514,192.178.202.97,443,TCP,217,189663,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43298,34.120.133.55,443,UDP,35,20725,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
178.250.1.12,443,192.168.20.101,49704,TCP,28,8709,N/A | N/A,N/A | N/A,N/A | N/A,CRITEO-EUROPE-INFRA,IP Privato/Riservato
192.168.20.101,39654,54.76.99.176,443,TCP,33,9778,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-2011L
142.251.209.42,443,192.168.20.101,48710,UDP,45,32481,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
13.35.198.11,443,192.168.20.101,39266,TCP,76,28978,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,49766,95.100.171.209,443,TCP,35,10033,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
192.168.20.101,48944,95.100.171.208,443,TCP,510,146389,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
142.251.209.42,443,192.168.20.101,40966,TCP,29,10799,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
178.250.1.12,443,192.168.20.101,49716,TCP,29,9067,N/A | N/A,N/A | N/A,N/A | N/A,CRITEO-EUROPE-INFRA,IP Privato/Riservato
192.168.20.101,39981,192.178.202.139,443,UDP,85,50677,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49172,192.178.202.139,443,TCP,113,92748,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38249,216.239.34.36,443,UDP,47,23864,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43968,216.58.204.227,443,UDP,40,25391,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,48100,216.239.34.36,443,TCP,37,14094,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44570,216.58.204.227,443,TCP,21,8645,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45220,216.58.204.226,443,UDP,33,24742,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45282,216.58.204.228,443,UDP,52,33639,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.140.98,443,192.168.20.101,38718,UDP,36,28403,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47646,192.178.202.97,443,UDP,28,17788,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.140.98,443,192.168.20.101,40730,TCP,33,12111,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47530,216.58.204.228,443,TCP,21,8644,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,37604,216.58.204.226,443,TCP,21,9580,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46818,192.178.202.139,443,UDP,62,33932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.34,443,192.168.20.101,45039,UDP,29,25416,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.33,443,192.168.20.101,49261,UDP,39,31892,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
18.65.64.9,443,192.168.20.101,41156,TCP,43,16144,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,42819,216.58.204.228,443,UDP,177,139639,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
18.65.64.9,443,192.168.20.101,41158,TCP,116,51850,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,47538,216.58.204.228,443,TCP,21,8676,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41969,216.58.204.130,443,UDP,51,38240,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44556,216.58.204.130,443,TCP,21,9650,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.161,443,192.168.20.101,39740,UDP,40,25688,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.161,443,192.168.20.101,49484,TCP,21,9617,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
104.18.26.193,443,192.168.20.101,47150,TCP,102,67139,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
103.231.98.105,443,192.168.20.101,39860,TCP,70,32293,N/A | N/A,N/A | N/A,N/A | N/A,PubMatic-AP-SG,IP Privato/Riservato
18.196.102.40,443,192.168.20.101,38138,TCP,57,26285,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
185.89.210.180,443,192.168.20.101,38322,TCP,41,17094,N/A | N/A,N/A | N/A,N/A | N/A,EUADNEXUS-FR-IB-2,IP Privato/Riservato
172.66.154.88,443,192.168.20.101,40916,TCP,46,17904,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
142.250.180.161,443,192.168.20.101,42660,UDP,35,24539,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.98,443,192.168.20.101,38147,UDP,33,28584,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.161,443,192.168.20.101,49496,TCP,21,9712,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.98,443,192.168.20.101,40758,TCP,37,12328,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,38252,216.239.32.3,443,UDP,35,24642,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49077,216.58.204.225,443,UDP,32,25659,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,40468,216.58.204.225,443,TCP,70,46685,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,37614,216.58.204.130,443,UDP,39,24765,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,48722,95.100.171.8,443,TCP,24,7586,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
172.66.154.88,443,192.168.20.101,40926,TCP,56,19612,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.24.18,443,192.168.20.101,46774,TCP,19,7049,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
185.184.8.90,443,192.168.20.101,44550,TCP,37,12796,N/A | N/A,N/A | N/A,N/A | N/A,NL-RTBHOUSE-20170825,IP Privato/Riservato
192.168.20.101,38156,23.60.189.41,443,TCP,24,7736,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,37242,89.149.192.75,443,TCP,32,12818,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,NL-LEASEWEB-20060223
15.197.193.217,443,192.168.20.101,37866,TCP,41,14400,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,47678,46.228.174.117,443,TCP,37,12428,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,TURN-RIPE1
185.89.210.212,443,192.168.20.101,40110,TCP,32,13098,N/A | N/A,N/A | N/A,N/A | N/A,EUADNEXUS-FR-IB-2,IP Privato/Riservato
192.168.20.101,45258,3.79.60.157,443,TCP,34,11208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
