IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,13213,8.8.8.8,53,UDP,2,462,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,54614,8.8.8.8,53,UDP,2,462,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,62499,8.8.8.8,53,UDP,2,394,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
172.64.155.209,443,192.168.20.101,48430,TCP,25,11525,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,19916,8.8.8.8,53,UDP,2,462,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,37563,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,23269,8.8.8.8,53,UDP,2,394,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.32.47,443,192.168.20.101,40352,TCP,23,6188,ab.chatgpt.com. | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,33379,8.8.8.8,53,UDP,2,394,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.32.47,443,192.168.20.101,40366,TCP,27,10482,ab.chatgpt.com. | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,33731,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,7711,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,41341,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,16819,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,53915,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
172.64.155.214,443,192.168.20.101,34148,TCP,20,7427,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,37296,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,27379,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,16645,8.8.8.8,53,UDP,2,399,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,39775,74.125.13.135,443,UDP,1659,1920600,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
